id_contrato,idade,renda_mensal,tempo_emprego_anos,score_credito,dividas_ativas,possui_imovel,finalidade,valor_emprestimo,prazo_meses,inadimplente
100001,44,4404.99,3.9,850,1,sim,reforma,21000.0,36,0
100002,28,,12.0,614,0,nao,veiculo,8800.0,48,0
100003,49,,6.3,589,1,nao,reforma,23800.0,36,0
100004,51,5785.56,25.3,572,0,nao,veiculo,22200.0,24,0
100005,18,1412.0,2.0,831,2,nao,reforma,11400.0,24,0
100006,24,4119.29,8.0,730,1,nao,reforma,40000.0,48,0
100007,42,2192.82,,393,1,nao,pessoal,11300.0,48,0
100008,36,,13.3,387,0,nao,negocio,5900.0,24,1
100009,40,3357.3,2.8,532,0,sim,reforma,11500.0,24,0
100010,30,4141.96,0.5,670,1,nao,pessoal,15100.0,24,0
100011,51,1680.78,,636,0,sim,pessoal,6700.0,48,0
100012,49,6043.55,11.5,707,1,sim,reforma,15500.0,48,0
100013,41,5730.77,3.8,617,1,sim,reforma,65300.0,48,0
100014,54,4252.46,6.0,822,2,sim,negocio,9300.0,60,0
100015,46,2467.2,1.2,740,2,nao,reforma,18800.0,48,0
100016,30,1927.99,2.9,650,1,nao,pessoal,1800.0,36,0
100017,44,6842.72,18.9,789,1,nao,pessoal,20300.0,24,0
100018,28,1412.0,4.4,426,0,nao,veiculo,4000.0,24,0
100019,51,7441.86,2.3,629,1,nao,veiculo,29900.0,24,1
100020,39,3362.2,0.4,658,1,nao,negocio,9500.0,12,0
100021,38,3453.11,2.1,718,1,nao,reforma,27800.0,12,0
100022,32,1412.0,5.6,417,4,nao,negocio,4300.0,12,1
100023,55,3822.74,4.6,606,0,sim,educacao,7200.0,24,1
100024,38,5101.1,3.7,692,2,nao,reforma,10000.0,60,0
100025,35,1684.94,12.3,702,2,nao,veiculo,4400.0,36,0
100026,36,4678.07,3.8,794,0,nao,veiculo,25300.0,24,0
100027,46,4175.5,1.2,739,0,sim,veiculo,25200.0,24,0
100028,44,,2.2,632,2,sim,educacao,4600.0,36,0
100029,45,6294.82,9.3,728,1,sim,pessoal,13600.0,60,0
100030,45,1412.0,0.4,614,1,sim,negocio,2600.0,24,0
100031,66,5014.51,14.3,659,1,sim,veiculo,14800.0,60,0
100032,35,8562.95,3.8,743,4,nao,veiculo,53400.0,60,0
100033,34,7665.27,7.9,634,0,nao,pessoal,29700.0,48,0
100034,30,4094.02,14.0,687,0,nao,pessoal,19900.0,36,0
100035,47,3403.69,5.6,765,1,sim,veiculo,18600.0,24,0
100036,54,2921.13,3.3,733,3,sim,pessoal,7200.0,12,0
100037,39,3116.92,,800,1,nao,pessoal,5100.0,48,0
100038,30,4455.89,3.5,943,2,nao,pessoal,11000.0,60,0
100039,30,,4.4,731,3,nao,pessoal,12100.0,48,0
100040,48,6158.09,2.5,580,0,sim,negocio,30900.0,12,0
100041,49,13259.48,6.0,707,0,sim,veiculo,48700.0,12,0
100042,47,3883.55,0.4,701,1,nao,veiculo,24000.0,24,0
100043,32,1617.4,,720,2,nao,negocio,6200.0,60,0
100044,43,1837.61,5.3,834,1,sim,veiculo,5300.0,12,0
100045,41,5772.61,3.4,421,1,sim,negocio,7900.0,24,0
100046,43,3725.54,3.0,837,2,sim,negocio,28000.0,36,0
100047,50,6712.14,7.2,881,0,sim,reforma,22200.0,12,0
100048,43,2870.75,6.2,714,1,nao,veiculo,7700.0,12,0
100049,48,6411.07,0.5,717,0,sim,educacao,21100.0,12,1
100050,41,,7.4,609,2,sim,pessoal,29700.0,36,1
100051,43,2573.32,0.5,641,3,nao,veiculo,16300.0,24,0
100052,48,3256.44,,731,1,sim,pessoal,9200.0,12,0
100053,23,1558.24,2.5,722,0,nao,pessoal,7200.0,36,0
100054,36,10620.48,4.3,734,1,nao,pessoal,77600.0,48,0
